No.,Title,Link
127,Temperature effect on luteinizing hormone secretion of Eurasian Skylark (Alauda arvensis) and Great Tit (Parus major) in China,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0095-8
128,"The phylogeny of francolins (Francolinus, Dendroperdix, Peliperdix and Scleroptila) and spurfowls (Pternistis) based on chick plumage (Galliformes: Phasianidae)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0093-2
129,A tale of two tails: asymmetry in Great Grey Shrike (Lanius excubitor),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0094-1
130,Breeding biology and novel reproductive behaviour in the Hainan Partridge (Arborophila ardens),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0091-4
131,Do birds in flight respond to (ultra)violet lighting?,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0092-3
132,"The importance of willow to the Chinese Grouse: evidence from analysis on their breeding territories at Lianhuashan, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0090-5
133,Bulbuls and crows provide complementary seed dispersal for China’s endangered trees,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0089-y
134,Avian introgression in the genomic era,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0088-z
135,A high incidence of non-cavity nesting in an introduced population of House Sparrows suggests that the species should not be constrained by cavity-nest site availability,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0087-0
136,Nest-site selection and breeding ecology of Streaked Wren-Babbler (Napothera brevicaudata) in a tropical limestone forest of southern China,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0086-1
137,Comparing vocal structures of the parasitic and nonparasitic groups in Cuculinae,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0084-3
138,"Antibiotic resistance assessment in bacteria isolated in migratory Passeriformes transiting through the Metaponto territory (Basilicata, Italy)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0085-2
139,"Seasonal phenotypic flexibility in body mass, basal thermogenesis, and tissue oxidative capacity in the male Silky Starling (Sturnus sericeus)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0083-4
140,Migration of the Western Marsh Harrier to the African wintering quarters along the Central Mediterranean flyway: a 5-year study,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0081-6
